year,letter,first_author,et_al,Accessed,method,species,country,local_modern_data,site,n_site,marine_riverine,hunter_gatherer,sedentary,midden_or_layer,num_specimens,num_layers,total_layers,num_edge,years_in_record,start_period,end_period,calibrated,main_question,Seasonality_Result,Notes,Reference
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-521,1,marine,,,,8,NA,NA,2,NA,3600,1000,TRUE,Occupation Season,Spring,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-1233,1,marine,,,,3,NA,NA,2,NA,1100,600,TRUE,Occupation Season,Spring-Summer,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-SLO-267,1,marine,,,,22,NA,NA,2,NA,2900,700,TRUE,Occupation Season,Summer,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-1223,1,marine,,,,2,NA,NA,2,NA,800,400,TRUE,Occupation Season,Summer,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-100/H,1,marine,,,,3,NA,NA,2,NA,230,150,TRUE,Occupation Season,Summer+Winter,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-1227,1,marine,,,,1,NA,NA,2,NA,700,300,TRUE,Occupation Season,Winter,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-1748/H,1,marine,,,,20,NA,NA,2,NA,800,200,TRUE,Occupation Season,Winter-Early Summer,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-1770,1,marine,,,,14,NA,NA,2,NA,600,300,TRUE,Occupation Season,Winter-Summer,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2008,,Jones,et al,TRUE,d18O,Mytilus californianus,US-California,FALSE,CA-MNT-569B,1,marine,,,,6,NA,NA,2,NA,400,300,TRUE,Occupation Season,Winter-Summer,,"Jones, T.L., Kennett, D.J., Kennett, J.P., Codding, B.F., 2008. Seasonal stability in Late Holocene shellfish harvesting on the central California coast. J. Archaeol. Sci. 35, 2286–2294."
2004,,Keene,,TRUE,d18O,Crassostrea virginica,US-Georgia,FALSE,Grove's Creek (09CH71),1,marine,TRUE,TRUE,midden,8,3,3,8,1,550,350,TRUE,Occupation Season,Year-round,Seasonality is based on not only osyter data but also botanical and faunal remains. Oysters alone point towards winter-summer,"Keene, D.A., 2004. Reevaluating late prehistoric coastal subsistence and settlement strategies: New data from Grove’s Creek Site, Skidaway Island, Georgia. Am. Antiq. 69, 671–688."
2008,,Koetje and Grimm,,FALSE,d18O+GI,Protothaca staminea,US-Washington,TRUE,45-SK-46 ,1,marine,TRUE,FALSE,midden,75,4,10,NA,NA,3500,2400,TRUE,Occupation Season,Single to Multi-season,Layers are estimated based on section drawing. Data mostly from MA thesis by Shona D. Pierce 2008 where the actual seasons were not mentioned,"Koetje, T. and Grimm L., 2008. Protothaca staminea and Seasonality on the Northwest Coast. Unpublished Article. Western Washington University and Oberlin College."
2003,,Mannino ,et al,TRUE,d18O,Monodonta lineata ,England,TRUE,Culverwell ,1,marine,TRUE,FALSE,midden,38,5,5,3,NA,Mesolithic,Mesolithic,NA,Occupation Season,autumn to winter ,"The edge values (Table 5) show progressive con- tinuity from the lowest to the highest values in each layer (layer 8,d18O 1.21–2.46‚Ä∞; layer 9,d18O 1.29–2.47‚Ä∞; layer 12, d18O 1.30–2.92‚Ä∞). This suggests that shellfish were probably collected throughout the period of the year indicated by the isotope data.¬†","Mannino, M.A., Spiro, B.F., Thomas, K.D., 2003. Sampling shells for seasonality: oxygen isotope analysis on shell carbonates of the inter-tidal gastropod Monodonta lineata (da Costa) from populations across its modern range and from a Mesolithic site in southern Britain. J. Archaeol. Sci. 30, 667–679."
2003,,Maxwell,,TRUE,GI,"Protothaca staminea, Saxidomus giganteus,Mya arenaria, Macoma sp.",Canada-BC,TRUE,DeRt-1 ,1,marine,TRUE,TRUE,midden,122,2,NA,NA,NA,1320,470,TRUE,Occupation Season,March to December,,"Maxwell, D., 2003. Growth Coloration Revisited: Assessing Shell Fishing Seasonality in Coastal British Columbia. Archaeology of Coastal British Columbia: Essays in Honour of Professor Philip Hobler, edited by Roy L. Carlson 175–188."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 4 sites,4,marine,,,,99,NA,NA,NA,NA,Altamaha,Altamaha,,Occupation Season,Year-round,this study is in relation to the above which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 2 sites,2,marine,,,,33,NA,NA,NA,NA,St. Simons period ,St. Simons period ,,Occupation Season,Year-round,this study is in relation to the above which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 44 sites,44,marine,,,,942,NA,NA,NA,NA,Irene,Irene,,Occupation Season,Year-round (few in Autumn),this study is in relation to the above which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 9 sites,9,marine,,,,134,NA,NA,NA,NA,Refuge/Deptford,Refuge/Deptford,,Occupation Season,Year-round (few in Autumn),this study is in relation to the above (andrus and Crowe) which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 10 sites,10,marine,,,,124,NA,NA,NA,NA,St. Catherines,St. Catherines,,Occupation Season,Year-round (few in Autumn),this study is in relation to the above which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 5 sites,5,marine,,,,110,NA,NA,NA,NA,St.Catherines/Wilmington,St.Catherines/Wilmington,,Occupation Season,Year-round (few in Autumn),this study is in relation to the above which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2008,,Mayer O'Brien and Thomas,,TRUE,GI,Merceneria merceneria,US-Georgia,TRUE,St. Catherine's Island 18 sites,18,marine,,,,289,NA,NA,NA,NA,Wilmington,Wilmington,,Occupation Season,Year-round (few in Winter emphasis),this study is in relation to the above which showed some problems with the method in general where GI and isotopic results did not match,"Mayer O’Brien, D., Thomas, D.H., 2008. The molluscan incremental sequence. Native American Landscapes of St. Catherines Island, Georgia: II. The Data, Anthropological Papers 88, 475–497."
2002,,Milner,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Norsminde,1,marine,NA,TRUE,midden,96,10,NA,NA,4,6650,5450,TRUE,Occupation Season,Spring,"from Robson 2015, Meso-neo transition site","Milner, N., 2009. Coastal perspectives on the Mesolithic Neolithic transition. unknown, pp. 134–139."
2002,,Milner,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Eskelund,1,marine,TRUE,TRUE,midden,15,NA,NA,NA,3,5920,5920,TRUE,Occupation Season,Spring,from Robson 2015,"Milner, N., 2009. Coastal perspectives on the Mesolithic Neolithic transition. unknown, pp. 134–139."
2002,,Milner,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Lystrup Enge,1,marine,TRUE,TRUE,midden,4,NA,NA,NA,3,7650,6290,TRUE,Occupation Season,Spring,from Robson 2015,"Milner, N., 2009. Coastal perspectives on the Mesolithic Neolithic transition. unknown, pp. 134–139."
2002,,Milner,,FALSE,GI,Ostrea edulis,Denmark,FALSE,Havn√∏,1,marine,NA,NA,midden,13,NA,NA,NA,NA,,,,Occupation Season,Spring+Winter,"From Robson (2015), hunter-gatherer and agrarian transition site","Milner, N., 2009. Coastal perspectives on the Mesolithic Neolithic transition. unknown, pp. 134–139."
2002,,Milner,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Dyngby I,1,marine,TRUE,TRUE,midden,21,4,NA,NA,2,6410,6290,TRUE,Occupation Season,Winter-Spring,from Robson 2015,"Milner, N., 2009. Coastal perspectives on the Mesolithic Neolithic transition. unknown, pp. 134–139."
2005,,Milner and Laurie,,TRUE,GI,"Ostrea edulis, Cerastoderma edule",Denmark,FALSE,Norsminde,1,marine,NA,NA,midden,153,10,10,NA,3,6400,5600,TRUE,Occupation Season,Spring-Summer,"Meso-Neo transition site. Some diffference between species with oysters more common in spring and cockles more common in summer (and year-round harvesting). Edge samples are 11 to 20, here averaged","Milner, N., Laurie, E., 2009. Coastal perspectives on the Mesolithic Neolithic transition, in: Mesolithic 2005 Volume. Oxbow Books, pp. 134–139."
2006,,Milner and Laurie,,TRUE,GI,Ostrea edulis,Denmark,FALSE,Krabbesholm II,1,marine,NA,TRUE,midden,114,14,NA,NA,5,6750,4250,TRUE,Occupation Season,Winter-Spring,"from Robson 2015, Meso-neo transition site","Milner, N., Laurie, E., 2009. Coastal perspectives on the Mesolithic Neolithic transition, in: Mesolithic 2005 Volume. Oxbow Books, pp. 134–139."
2005,,Quitmyer,et al,TRUE,d18O,Donax variabilis,US-Florida,TRUE,"Crescent Beach, Spencer's Midden, Rollins, Guana Shell Ring",1,marine,TRUE,TRUE,midden,4,4,NA,15,NA,5570,3600,TRUE,Feasability,Late autumn,"Each site had one shell analysed. Shows that the shell doesn't work as GI measure, edge samples are estimates","Quitmyer, I.R., Jones, D.S., Andrus, F.T., 2005. Seasonal collection of coquina clams (Donax variabilis, Say 1822) during the Archaic and St. Johns Periods in coastal northeast Florida. Archaeomalacology: Molluscs in former environments of human behaviour 18–28."
,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,Ambrose,et al,TRUE,GI,Mya arenaria,US-Maine,TRUE,McKinney,1,marine,FALSE,TRUE,midden,71,3,3,NA,10+,85,38,TRUE,Occupation Season,Fall+Winter,,"Ambrose, W.G., Jr, Locke, V, L., W., Fisher, J.L., Hamilton, N.D., Levitt, J., 2016. Harvest of the Soft-Shell Clam (Mya arenaria) by Malaga Island, Maine, Residents From 1865 to 1912 Occurred Primarily in the Fall and Winter Based on Incremental Growth Assessment. The Journal of Island and Coastal Archaeology 11, 50–67."
2015,,Ambrose,et al,TRUE,GI,Mya arenaria,US-Maine,TRUE,Griffin,1,marine,FALSE,TRUE,midden,75,3,3,NA,,85,38,TRUE,Occupation Season,Fall+Winter,,"Ambrose, W.G., Jr, Locke, V, L., W., Fisher, J.L., Hamilton, N.D., Levitt, J., 2016. Harvest of the Soft-Shell Clam (Mya arenaria) by Malaga Island, Maine, Residents From 1865 to 1912 Occurred Primarily in the Fall and Winter Based on Incremental Growth Assessment. The Journal of Island and Coastal Archaeology 11, 50–67."
2014,,An and Lee,,TRUE,d18O,Crassostrea gigas,Korea,FALSE,Gagok-ri shell midden ,1,marine,TRUE,TRUE,midden,1,1,NA,9,2,Neolithic,Neolithic,NA,Occupation Season,autumn,,"An, D., Lee, I., 2014. Seasonality of shellfish gathering using oxygen isotope analysis of Crassostrea gigas from the Gagok-ri shell midden site, Dangjin. Korean J. Malacol. 30, 1–8."
2013,,An and Ryu,,TRUE,GI,Meretrix petechialis ,Korea,FALSE,Daejuk-ri Shell Middens,1,marine,TRUE,TRUE,midden,206,NA,NA,NA,NA,Neolithic,Neolithic,NA,Occupation Season,year-round mostly spring,This and Ryu and An (2013 are almost identical,"An, D.-I., Ryu, D.-K., 2013. Seasonality of shellfish collection determined by growth-line analysis of the hard clam, Meretrix petechialis (Lamarck) recovered from the Daejuk-ri Shell Middens, Seosan, Korea. Korean J. Malacol. 29, 77–82."
2016,,An and Ryu,,TRUE,GI-highres,Meretrix petechialis ,Korea,TRUE,Eurwang-dong,1,marine,FALSE,TRUE,midden,80,9,NA,NA,,Neolithic,Neolithic,NA,Occupation Season,year-round (spring emphasis),,"An, D.-I., Ryu, D.-K., 2016. Seasonality of shellfish collection determined by growth-line analysis of the hard clam, Meretrix petechialis (Lamarck) recovered from the Eurwang-dong Shell Midden, Incheon, Korea. Korean J. Malacol. 32, 25–30."
2014,,Blitz ,et al,TRUE,d18O,Rangia cuneata and Crassostrea virginica,US-Mississippi,FALSE,Graveline Mound,1,marine,NA,NA,midden,28,10,NA,24,2,1360,1170,NA,Feasability and Occupation Season,Spring and Summer,num_edge and years_in_record is averaged across all shells/species,"Blitz, J.H., Andrus, C.F.T., Downs, L.E., 2014. Sclerochronological Measures of Seasonality at a Late Woodland Mound on the Mississippi Gulf Coast. Am. Antiq. 79, 697–711."
2018,,Bosch,et al,TRUE,d18O,Phorcus turbinatus,Lebanon,FALSE,Ks√¢r ‚ÄòAkil,1,marine,TRUE,FALSE,layer,38,12,12,3,1+,44600,29700,TRUE,Occupation Season,mostly winter,,"Bosch, M.D., Mannino, M.A., Prendergast, A.L., Wesselingh, F.P., O’Connell, T.C., Hublin, J.-J., 2018. Year-round shellfish exploitation in the Levant and implications for Upper Palaeolithic hunter-gatherer subsistence. Journal of Archaeological Science: Reports 21, 1198–1214."
2020,,Branscombe ,et al,TRUE,d18O,Phorcus turbinatus,Croatia,TRUE,Vela Spila,1,marine,NA,NA,midden,28,3,NA,3,0.5,9450,7850,TRUE,Occupation Season,Summer to Winter,there is a graual shift from Summer/Autumn gathering to Autum/Winter gathering from the Mesolithic to the Neolithic,"Branscombe, T.L., Bosch, M.D., Miracle, P.T., 2021. Seasonal Shellfishing across the East Adriatic Mesolithic-Neolithic Transition: Oxygen Isotope Analysis of Phorcus turbinatus from Vela Spila (Croatia). Environ. Archaeol. 26, 497–510."
2013,a,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElSx-1, Namu",1,marine,TRUE,FALSE,midden,20,NA,NA,23,3+,4630,1410,TRUE,Occupation Season,Year-round,"num of edge sample is averaged, at least 10","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013. REFINING ESTIMATES FOR THE SEASON OF SHELLFISH COLLECTION ON THE PACIFIC NORTHWEST COAST: APPLYING HIGH-RESOLUTION STABLE OXYGEN ISOTOPE ANALYSIS AND SCLEROCHRONOLOGY. Archaeometry 55, 258–276."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,ElSx-10,1,marine,TRUE,FALSE,midden,14,NA,NA,13,3+,6265,NA,TRUE,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 8","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElSx-3, Kisameet",1,marine,TRUE,FALSE,midden,12,NA,NA,17,3+,2890,NA,TRUE,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 10","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElTb-1, Hurricane Island",1,marine,TRUE,FALSE,midden,10,NA,NA,15,3+,2755,NA,TRUE,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 12","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,ElSx-5,1,marine,TRUE,FALSE,midden,7,NA,NA,14,3+,6730,NA,TRUE,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 7","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElTb-10, McNaughton island",1,marine,TRUE,FALSE,midden,6,NA,NA,11,3+,2760,NA,TRUE,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 10","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,ElSx-4,1,marine,TRUE,FALSE,midden,7,NA,NA,19,3+,2845,NA,TRUE,Occupation Season,Spring and Autumn,"num of edge sample is averaged, at least 15","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElTa-25, Hunter Island",1,marine,TRUE,FALSE,midden,12,NA,NA,17,3+,1300,670,TRUE,Occupation Season,Year-round,"num of edge sample is averaged, at least 6","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,b,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElSx-1, Namu",1,marine,TRUE,FALSE,midden,2,NA,NA,23,3+,4630,1410,TRUE,Occupation Season,Year-round,"num of edge sample is averaged, at least 10; total sample number is 22","Burchell, M., Cannon, A., Hallmann, N., Schwarcz, H.P., Schöne, B.R., 2013a. Inter-site variability in the season of shellfish collection on the central coast of British Columbia. J. Archaeol. Sci. 40, 626–636."
2013,c,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,McNicholCreek,1,marine,TRUE,FALSE,midden,5,5,NA,10,NA,3380,1890,TRUE,Occupation Season,autumn spring,num of edge sample is averaged,"Burchell, M., Hallmann, N., Martindale, A., Cannon, A., Schöne, B.R., 2013b. Seasonality and Intensity of Shellfish Harvesting on the North Coast of British Columbia. The Journal of Island and Coastal Archaeology 8, 152–169."
2013,c,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,Ridley Island,1,marine,TRUE,FALSE,midden,5,5,NA,10,NA,3380,1890,TRUE,Occupation Season,mostly spring,num of edge sample is averaged,"Burchell, M., Hallmann, N., Martindale, A., Cannon, A., Schöne, B.R., 2013b. Seasonality and Intensity of Shellfish Harvesting on the North Coast of British Columbia. The Journal of Island and Coastal Archaeology 8, 152–169."
2013,c,Burchell ,et al,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,Dundas Island,7,marine,TRUE,FALSE,midden,42,29,NA,31,NA,6900,1800,TRUE,Occupation Season,Year-round,num of edge sample is averaged,"Burchell, M., Hallmann, N., Martindale, A., Cannon, A., Schöne, B.R., 2013b. Seasonality and Intensity of Shellfish Harvesting on the North Coast of British Columbia. The Journal of Island and Coastal Archaeology 8, 152–169."
2018,,Burchell ,et al,TRUE,d18O+GI,Mytilus sp.,Canada-Labrador,TRUE,FeAx-3 North Island-1,1,marine,FALSE,TRUE,midden,13,10,NA,17,2.5,449,150,TRUE,Occupation Season,Autumn to Spring (Spring emphasis),"num of edge sample is averaged, at least 8, number of years sampled is also averaged with a minimum of >1 year","Burchell, M., Stopp, M.P., Cannon, A., Hallmann, N., Schöne, B.R., 2018. Determining seasonality of mussel collection from an early historic Inuit site, Labrador, Canada: Comparing thin-sections with high-resolution stable oxygen isotope analysis. Journal of Archaeological Science: Reports 21, 1215–1224."
2012,,Cannarozzi,,TRUE,Size,Boonea impressa,US-Georgia,TRUE,W83S2,1,marine,TRUE,FALSE,midden,196,1,NA,NA,NA,Archaic,Archaic,NA,Occupation Season,year-round (spring emphasis),Oysters are also used in this study but the MNI is only 2. B. impressa is the main proxy,"Cannarozzi, N.R., 2012. Estimating the season of harvest of the eastern oyster (Crassostrea virginica) from the St. Catherines Shell Ring. Seasonality and human mobility along the Georgia."
2012,,Cannarozzi,,TRUE,Size,Boonea impressa,US-Georgia,TRUE,789N801E,1,marine,TRUE,FALSE,midden,132,1,NA,NA,NA,Archaic,Archaic,NA,Occupation Season,year-round (spring emphasis),Oysters are also used in this study but the MNI is only 2. B. impressa is the main proxy,"Cannarozzi, N.R., 2012. Estimating the season of harvest of the eastern oyster (Crassostrea virginica) from the St. Catherines Shell Ring. Seasonality and human mobility along the Georgia."
2019,,Cannarozzi and Kowalewski,,TRUE,Size,Boonea impressa,US-Georgia,TRUE,St. Catherines Island,1,marine,TRUE,FALSE,midden,578,3,NA,NA,NA,5000,3000,TRUE,Occupation Season,Autumn to Spring,,"Cannarozzi, N.R., Kowalewski, M., 2019. Seasonal oyster harvesting recorded in a Late Archaic period shell ring. PLoS One 14, e0224666."
2017,,Cannon and Burchell,,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElTb-10, McNaughton island",1,marine,TRUE,FALSE,midden,22,NA,NA,15,1+,NA,NA,NA,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 6; total sample number is 28, previous study not included in num_edge","Cannon, A., Burchell, M., 2017. Reconciling oxygen isotope sclerochronology with interpretations of millennia of seasonal shellfish collection on the Pacific Northwest Coast. Quat. Int. 427, Part A, 184–191."
2017,,Cannon and Burchell,,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,ElSw-4,1,marine,TRUE,FALSE,midden,10,NA,NA,15,1+,NA,NA,NA,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 6","Cannon, A., Burchell, M., 2017. Reconciling oxygen isotope sclerochronology with interpretations of millennia of seasonal shellfish collection on the Pacific Northwest Coast. Quat. Int. 427, Part A, 184–191."
2017,,Cannon and Burchell,,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,"ElSx-3, Kisameet",1,marine,TRUE,FALSE,midden,9,NA,NA,15,1+,NA,NA,NA,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 6; total sample number is 21, previous study not included in num_edge","Cannon, A., Burchell, M., 2017. Reconciling oxygen isotope sclerochronology with interpretations of millennia of seasonal shellfish collection on the Pacific Northwest Coast. Quat. Int. 427, Part A, 184–191."
2017,,Cannon and Burchell,,TRUE,d18O,Saxidomus gigantea,Canada-BC,TRUE,ElSx-5,1,marine,TRUE,FALSE,midden,8,NA,NA,15,1+,NA,NA,NA,Occupation Season,Autumn to Spring,"num of edge sample is averaged, at least 6; total sample number is 15, previous study not included in num_edge","Cannon, A., Burchell, M., 2017. Reconciling oxygen isotope sclerochronology with interpretations of millennia of seasonal shellfish collection on the Pacific Northwest Coast. Quat. Int. 427, Part A, 184–191."
2012,,Colonese,et al,TRUE,d18O,Nacella magellanica+deaurata,Tierra del Fuego,TRUE,Lanashuaia II,1,marine,TRUE,FALSE,midden,10,1,NA,4,NA,1320,1320,TRUE,Occupation Season,mostly winter,,"Colonese, A.C., Verdún-Castelló, E., Álvarez, M., Briz i Godino, I., Zurro, D., Salvatelli, L., 2012. Oxygen isotopic composition of limpet shells from the Beagle Channel: implications for seasonal studies in shell middens of Tierra del Fuego. J. Archaeol. Sci. 39, 1738–1748."
2011,,Colonese ,et al,TRUE,d18O,Nacella magellanica,Tierra del Fuego,TRUE,T√∫nel VII,1,marine,TRUE,FALSE,midden,18,3,NA,3,NA,200,50,TRUE,Occupation Season,Autumn to Spring,,"Colonese, A.C., Camarós, E., Verdún, E., Estévez, J., Giralt, S., Rejas, M., 2011. Integrated Archaeozoological Research of Shell Middens: New Insights Into Hunter-Gatherer-Fisher Coastal Exploitation in Tierra Del Fuego. The Journal of Island and Coastal Archaeology 6, 235–254."
2011,,Colonese ,et al,TRUE,d18O,Nacella magellanica,Tierra del Fuego,TRUE,Lanashuaia,1,marine,TRUE,FALSE,midden,10,1,NA,3,NA,80,50,TRUE,Occupation Season,autumn to winter ,,"Colonese, A.C., Camarós, E., Verdún, E., Estévez, J., Giralt, S., Rejas, M., 2011. Integrated Archaeozoological Research of Shell Middens: New Insights Into Hunter-Gatherer-Fisher Coastal Exploitation in Tierra Del Fuego. The Journal of Island and Coastal Archaeology 6, 235–254."
2013,,Eerkens ,et al,TRUE,d18O,Macoma spp. And Mytilus spp.,US-California,,CA-SFR-171,1,marine,TRUE,TRUE,midden,71,NA,NA,4,NA,550,500,TRUE,Occupation and feasability of estuary settings,,,"Eerkens, J.W., Byrd, B.F., Spero, H.J., Fritschi, A.K., 2013. Stable isotope reconstructions of shellfish harvesting seasonality in an estuarine environment: implications for Late Holocene San Francisco Bay settlement patterns. J. Archaeol. Sci. 40, 2014–2024."
2013,,Eerkens ,et al,TRUE,d18O,Macoma spp. And Mytilus spp.,US-California,,CA-SMA-6,1,marine,TRUE,TRUE,midden,49,NA,NA,4,NA,500,420,TRUE,Occupation and feasability of estuary settings,,,"Eerkens, J.W., Byrd, B.F., Spero, H.J., Fritschi, A.K., 2013. Stable isotope reconstructions of shellfish harvesting seasonality in an estuarine environment: implications for Late Holocene San Francisco Bay settlement patterns. J. Archaeol. Sci. 40, 2014–2024."
